Age,Gender,Total_Spent,Quantity,Channel,Category,Cluster,Avg_Price,Loyal_Customer
47,Male,687.88,1,Phone,Bags,0,687.88,1
48,Female,1799.09,1,Mobile App,Outerwear,3,1799.09,1
30,Female,470.26,1,In-Store,Accessories,1,470.26,0
22,Female,144.24,1,In-Store,Accessories,1,144.24,0
18,Male,686.13,1,Phone,Electronics,0,686.13,1
26,Female,317.52,1,In-Store,Accessories,1,317.52,0
28,Male,59.37,1,Online,Electronics,1,59.37,0
29,Male,386.84,2,In-Store,Footwear,1,193.42,0
36,Female,616.93,5,Online,Electronics,2,123.386,1
20,Male,593.59,1,Mobile App,Clothing,1,593.59,0
30,Female,521.03,2,Phone,Outerwear,1,260.515,0
28,Female,395.68,4,Online,Accessories,2,98.92,0
25,Female,1155.22,3,Mobile App,Accessories,0,385.0733333333333,1
27,Male,59.92,1,Phone,Footwear,1,59.92,0
23,Male,169.85,2,Mobile App,Bags,1,84.925,0
27,Female,166.86,1,Phone,Electronics,1,166.86,0
22,Male,421.41,2,Online,Accessories,1,210.705,0
39,Female,264.81,1,Online,Outerwear,4,264.81,0
31,Male,961.06,1,Phone,Footwear,0,961.06,1
49,Female,956.97,1,Phone,Accessories,0,956.97,1
21,Male,67.86,1,Online,Footwear,1,67.86,0
46,Male,864.6,2,Phone,Footwear,0,432.3,1
38,Female,376.59,1,Online,Accessories,4,376.59,0
38,Male,966.23,2,Phone,Electronics,0,483.115,1
49,Female,416.84,1,Online,Accessories,4,416.84,0
31,Female,632.39,1,In-Store,Footwear,0,632.39,1
34,Male,337.18,2,Online,Outerwear,1,168.59,0
40,Male,479.0,5,Online,Electronics,2,95.8,1
32,Female,454.46,1,Phone,Accessories,1,454.46,0
37,Female,285.22,1,Online,Footwear,4,285.22,0
18,Female,317.87,3,Online,Electronics,2,105.95666666666666,0
33,Female,111.63,1,Phone,Bags,1,111.63,0
43,Female,575.04,3,Mobile App,Accessories,2,191.67999999999998,1
41,Female,189.64,2,Online,Outerwear,4,94.82,0
26,Female,1173.46,1,Online,Electronics,3,1173.46,1
31,Male,240.86,1,Mobile App,Clothing,1,240.86,0
37,Female,511.74,1,In-Store,Electronics,0,511.74,0
40,Male,442.88,1,In-Store,Clothing,4,442.88,0
43,Male,1008.77,3,Mobile App,Beauty,0,336.25666666666666,1
43,Male,225.1,2,Online,Media,4,112.55,0
35,Female,435.87,2,Phone,Footwear,4,217.935,0
44,Female,259.58,3,Online,Footwear,2,86.52666666666666,0
18,Female,799.75,1,Online,Accessories,0,799.75,1
42,Male,131.81,2,Phone,Outerwear,4,65.905,0
43,Female,99.71,1,Phone,Electronics,4,99.71,0
18,Female,237.34,3,Online,Electronics,2,79.11333333333333,0
45,Female,282.69,1,In-Store,Clothing,4,282.69,0
35,Male,294.02,2,Online,Clothing,4,147.01,0
52,Male,253.65,3,Phone,Electronics,4,84.55,0
29,Male,710.0,1,Phone,Electronics,0,710.0,1
39,Male,247.15,1,Phone,Footwear,4,247.15,0
38,Male,173.07,2,Mobile App,Accessories,4,86.535,0
25,Female,50.0,1,In-Store,Electronics,1,50.0,0
41,Female,538.36,2,Phone,Electronics,4,269.18,0
41,Male,145.89,4,Mobile App,Electronics,2,36.4725,0
18,Male,279.07,1,Phone,Electronics,1,279.07,0
24,Female,106.2,1,In-Store,Accessories,1,106.2,0
35,Male,730.19,2,Mobile App,Electronics,0,365.095,1
40,Male,348.46,1,Mobile App,Electronics,4,348.46,0
