Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Facebook,2023-06-24,2023-07-03,1311,184941,5544,591
2,Billboard,2023-01-19,2023-02-02,2890,70240,99,12
3,Online,2023-02-09,2023-03-17,1012,105886,2216,485
4,In-Store,2023-08-13,2023-08-22,1284,50538,5323,553
5,Online,2023-09-08,2023-10-19,1185,128014,3244,505
6,Radio,2023-02-20,2023-03-24,1139,76899,337,55
7,Email,2023-10-09,2023-11-22,534,104457,6668,804
8,Email,2023-08-08,2023-09-15,345,65357,4162,504
9,Instagram,2023-07-28,2023-08-06,1301,117796,2959,463
10,Email,2023-05-19,2023-05-31,318,56743,2682,191
11,Email,2023-01-04,2023-01-15,378,66212,3984,924
12,TV,2023-03-26,2023-05-03,7203,332743,741,101
13,Email,2023-06-10,2023-07-17,681,131517,8999,2041
14,TV,2023-09-24,2023-10-02,3605,194929,527,120
15,Online,2023-01-27,2023-03-04,1679,182736,8065,1652
16,Billboard,2023-07-06,2023-08-17,4333,111966,194,29
17,Radio,2023-04-03,2023-05-06,1471,136364,465,78
18,TV,2023-02-04,2023-02-20,9261,464268,1173,150
19,Facebook,2023-02-23,2023-03-07,508,70589,3085,645
20,Social,2023-02-08,2023-03-03,1483,189183,4361,356
21,Billboard,2023-02-12,2023-02-25,3398,101500,148,24
22,Social,2023-06-20,2023-07-16,1007,143883,4887,685
23,TV,2023-05-20,2023-06-20,9493,450405,643,80
24,Radio,2023-05-24,2023-06-18,812,54810,125,25
25,Instagram,2023-06-25,2023-07-07,737,77245,2935,446
26,Online,2023-06-23,2023-07-09,418,36885,1651,295
27,In-Store,2023-04-21,2023-05-26,1979,76906,5465,382
28,TV,2023-09-12,2023-09-24,4131,196800,249,13
29,In-Store,2023-05-14,2023-06-23,999,35138,2552,625
30,In-Store,2023-02-26,2023-03-16,1407,48828,3149,402
31,Email,2023-01-01,2023-02-09,593,136553,6792,735
32,YouTube,2023-01-24,2023-03-08,443,47706,1108,162
33,In-Store,2023-10-06,2023-10-28,1452,55227,5623,700
34,YouTube,2023-08-04,2023-09-10,669,63497,870,59
35,Social,2023-01-22,2023-02-16,1317,159528,4451,721
36,TV,2023-02-22,2023-04-02,5194,292310,422,40
37,Social,2023-07-18,2023-08-13,872,117022,2506,340
38,TV,2023-02-25,2023-04-10,7020,292497,314,60
39,Email,2023-01-11,2023-02-11,356,79632,4654,1131
40,YouTube,2023-01-08,2023-01-29,1622,124415,3270,816
41,Facebook,2023-08-19,2023-08-29,502,66625,2473,308
42,Facebook,2023-02-21,2023-03-12,1063,165467,3187,408
