Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
1,1434,4998,2023-07-11,1,119.65,Phone
2,2243,4691,2023-07-21,1,153.64,Mobile App
3,1772,4818,2024-01-20,1,89.02,In-Store
4,2724,4638,2023-08-21,1,83.08,In-Store
5,3034,2003,2023-09-16,1,295.02,Phone
6,692,2296,2023-12-22,1,67.68,In-Store
7,1764,3241,2023-04-18,1,273.63,Online
8,883,2097,2023-01-09,2,98.54,In-Store
9,2888,2293,2023-02-04,5,693.1,Online
10,1829,3465,2023-12-05,1,67.91,Mobile App
11,1506,3589,2023-07-11,2,231.88,Phone
12,2637,4416,2023-09-02,4,306.56,Online
13,2882,4013,2023-01-17,3,257.79,Mobile App
14,228,3048,2023-12-25,1,133.29,Phone
15,2308,2402,2023-08-05,2,213.08,Mobile App
16,2906,4009,2023-01-14,1,489.79,Phone
17,456,3946,2023-05-10,2,135.64,Online
18,1106,4967,2024-01-02,1,145.41,Online
19,1963,3556,2024-01-19,1,51.29,Phone
20,241,3323,2023-06-08,1,96.62,Phone
21,988,4514,2023-07-30,1,52.87,Online
22,2174,3821,2023-02-05,2,270.68,Phone
23,1226,4856,2023-10-17,1,59.58,Online
24,1138,4399,2023-03-02,2,752.3,Phone
25,813,3851,2023-05-31,1,52.44,Online
26,1290,4463,2023-06-19,1,114.98,In-Store
27,415,2816,2023-09-04,2,347.52,Online
28,1687,4679,2023-04-01,5,1814.1,Online
29,1339,2749,2023-04-25,1,97.14,Phone
30,1037,4924,2023-08-16,1,32.21,Online
31,516,2674,2023-03-13,3,715.23,Online
32,1895,4033,2023-07-07,1,28.96,Phone
33,185,4902,2023-09-26,3,113.97,Mobile App
34,2701,4227,2023-02-24,2,281.46,Online
35,1243,3788,2023-10-13,1,355.11,Online
36,367,2358,2023-05-15,1,60.31,Mobile App
37,2045,3644,2023-09-17,1,404.88,In-Store
38,596,2099,2023-03-24,1,31.44,In-Store
39,1928,4703,2023-10-07,3,175.74,Mobile App
40,2058,2274,2023-12-03,2,26.78,Online
41,1052,2830,2023-03-17,2,219.6,Phone
42,146,3524,2023-01-31,3,328.5,Online
43,562,4149,2023-12-07,1,68.43,Online
44,1343,2562,2023-06-13,2,326.7,Phone
45,975,2773,2023-12-06,1,61.42,Phone
46,978,2406,2023-03-30,3,1039.56,Online
47,699,4733,2023-03-07,1,27.5,In-Store
48,379,3957,2023-09-20,2,121.26,Online
